gana_id	gana_name_slp1	gana_name_deva	sutra_ref	serial	member_slp1	member_deva	note
1	mAheSvarasUtra	māheśvarasūtra	shivasutra	1	aiuR	अइउण्	
1	mAheSvarasUtra	māheśvarasūtra	shivasutra	2	fxk	ऋऌक्	
1	mAheSvarasUtra	māheśvarasūtra	shivasutra	3	eoN	एओङ्	
1	mAheSvarasUtra	māheśvarasūtra	shivasutra	4	EOc	ऐऔच्	
1	mAheSvarasUtra	māheśvarasūtra	shivasutra	5	hyvrw	हयवरट्	
1	mAheSvarasUtra	māheśvarasūtra	shivasutra	6	lR	लण्	
1	mAheSvarasUtra	māheśvarasūtra	shivasutra	7	YmNRnm	ञमङणनम्	
1	mAheSvarasUtra	māheśvarasūtra	shivasutra	8	JBY	झभञ्	
1	mAheSvarasUtra	māheśvarasūtra	shivasutra	9	GQDz	घढधष्	
1	mAheSvarasUtra	māheśvarasūtra	shivasutra	10	jbgqdS	जबगडदश्	
1	mAheSvarasUtra	māheśvarasūtra	shivasutra	11	KPCWTcwtv	खफछठथचटतव्	
1	mAheSvarasUtra	māheśvarasūtra	shivasutra	12	kpy	कपय्	
1	mAheSvarasUtra	māheśvarasūtra	shivasutra	13	Szsr	शषसर्	
1	mAheSvarasUtra	māheśvarasūtra	shivasutra	14	hl	हल्	
2	srvAdiH	सर्वादिः	1.1.27	1	srv	सर्व	
2	srvAdiH	सर्वादिः	1.1.27	2	viSv	विश्व	
2	srvAdiH	सर्वादिः	1.1.27	3	uB	उभ	
2	srvAdiH	सर्वादिः	1.1.27	4	uBy	उभय	
2	srvAdiH	सर्वादिः	1.1.27	5	qtr	डतर	
2	srvAdiH	सर्वादिः	1.1.27	6	qtm	डतम	
2	srvAdiH	सर्वादिः	1.1.27	7	any	अन्य	
2	srvAdiH	सर्वादिः	1.1.27	8	anytr	अन्यतर	
2	srvAdiH	सर्वादिः	1.1.27	9	itr	इतर	
2	srvAdiH	सर्वादिः	1.1.27	10	tvt	त्वत्	
2	srvAdiH	सर्वादिः	1.1.27	11	tv	त्व	
2	srvAdiH	सर्वादिः	1.1.27	12	nem	नेम	
2	srvAdiH	सर्वादिः	1.1.27	13	sm	सम	
2	srvAdiH	सर्वादिः	1.1.27	14	sim	सिम	
