id	name_slp1	name_deva	expansion_slp1	expansion_deva	member_count	sutra_ref
1	aR	अण्	a i u	अ, इ, उ	3	ढ्रलोपे पूर्वस्य दीर्घोऽणः
2	ak	अक्	a i u f x	अ, इ, उ, ऋ, ऌ	5	अकः सवर्णे दीर्घः
3	ik	इक्	i u f x	इ, उ, ऋ, ऌ	4	इको यणचि
4	uk	उक्	u f x	उ, ऋ, ऌ	3	उगिदचां सर्वनामस्थानेऽधातो
5	eN	एङ्	e o	ए, ओ	2	एङः पदान्तादति
6	ac	अच्	a i u f x e o E O	अ, इ, उ, ऋ, ऌ, ए, ओ, ऐ, औ	9	इको यणचि
7	ic	इच्	i u f x e o E O	इ, उ, ऋ, ऌ, ए, ओ, ऐ, औ	8	नादिचि
8	ec	एच्	e o E O	ए, ओ, ऐ, औ	4	एचोऽयवायावः
9	Ec	ऐच्	E O	ऐ, औ	2	वृद्धिरादैच्
10	aw	अट्	a i u f x e o E O h y v r	अ, इ, उ, ऋ, ऌ, ए, ओ, ऐ, औ, ह्, य्, व्, र्	13	अट्कुप्वाङ्नुम्व्यवायेऽपि
11	aR	अण्	a i u f x e o E O h y v r l	अ, इ, उ, ऋ, ऌ, ए, ओ, ऐ, औ, ह्, य्, व्, र्, ल्	14	अणुदित् सवर्णस्य चाप्रत्ययः
12	iR	इण्	i u f x e o E O h y v r l	इ, उ, ऋ, ऌ, ए, ओ, ऐ, औ, ह्, य्, व्, र्, ल्	13	इण्कोः
13	yR	यण्	y v r l	य्, व्, र्, ल्	4	इको यणचि
14	am	अम्	a i u f x e o E O h y v r l Y m N R n	अ, इ, उ, ऋ, ऌ, ए, ओ, ऐ, औ, ह्, य्, व्, र्, ल्, ञ्, म्, ङ्, ण्, न्	19	पुमः खय्यम्परे
15	ym	यम्	y v r l Y m N R n	य्, व्, र्, ल्, ञ्, म्, ङ्, ण्, न्	9	हलो यमां यमि लोपः
16	Nm	ङम्	N R n	ङ्, ण्, न्	3	ङमो ह्रस्वादचि ङमुण् नित्यम्
