global_id	adhyaya	pada	num	text_deva	text_slp1	sutra_type
1	1	1	1	वृद्धिरादैच्	vfdDirAdEc	SAMJNA
2	1	1	2	अदेङ् गुणः	adeN guRH	SAMJNA
3	1	1	3	इको गुणवृद्धी	iko guRvfdDI	PARIBHASHA
4	1	1	4	न धातुलोप आर्धधातुके	n DAtulop ArDDAtuke	VIDHI
5	1	1	5	क्ङिति च	kNiti c	VIDHI
6	1	1	6	दीधीवेवीटाम्	dIDIvevIwAm	VIDHI
7	1	1	7	हलोऽनन्तराः संयोगः	hlonntrAH sMyogH	SAMJNA
8	1	1	8	मुखनासिकावचनोऽनुनासिकः	muKnAsikAvcnonunAsikH	SAMJNA
9	1	1	9	तुल्यास्यप्रयत्नं सवर्णम्	tulyAsyprytnM svrRm	SAMJNA
10	1	1	10	नाज्झलौ	nAjJlO	SAMJNA
11	1	1	11	ईदूदेद्द्विवचनं प्रगृह्यम्	IdUdeddvivcnM prgfhym	SAMJNA
12	1	1	12	अदसो मात्	adso mAt	SAMJNA
13	1	1	13	शे	Se	SAMJNA
14	1	1	14	निपात एकाजनाङ्	nipAt ekAjnAN	SAMJNA
15	1	1	15	ओत्	ot	SAMJNA
16	1	1	16	सम्बुद्धौ शाकल्यस्येतावनार्षे	smbudDO SAklysyetAvnArze	SAMJNA
17	1	1	17	उञः	uYH	SAMJNA
18	1	1	18	ऊँ	U~	SAMJNA
19	1	1	19	ईदूतौ च सप्तम्यर्थे	IdUtO c sptmyrTe	SAMJNA
20	1	1	20	दाधा घ्वदाप्	dADA GvdAp	SAMJNA
21	1	1	21	आद्यन्तवदेकस्मिन्	Adyntvdeksmin	PARIBHASHA
22	1	1	22	तरप्तमपौ घः	trptmpO GH	SAMJNA
23	1	1	23	बहुगणवतुडति संख्या	bhugRvtuqti sMKyA	SAMJNA
24	1	1	24	ष्णान्ता षट्	zRAntA zw	SAMJNA
25	1	1	25	डति च	qti c	SAMJNA
26	1	1	26	क्तक्तवतू निष्ठा	ktktvtU nizWA	SAMJNA
27	1	1	27	सर्वादीनि सर्वनामानि	srvAdIni srvnAmAni	SAMJNA
28	1	1	28	विभाषा दिक्समासे बहुव्रीहौ	viBAzA diksmAse bhuvrIhO	SAMJNA
29	1	1	29	न बहुव्रीहौ	n bhuvrIhO	SAMJNA
30	1	1	30	तृतीयासमासे	tftIyAsmAse	SAMJNA
31	1	1	31	द्वन्द्वे च	dvndve c	SAMJNA
32	1	1	32	विभाषा जसि	viBAzA jsi	SAMJNA
33	1	1	33	प्रथमचरमतयाल्पार्धकतिपयनेमाश्च	prTmcrmtyAlpArDktipynemASc	SAMJNA
34	1	1	34	पूर्वपरावरदक्षिणोत्तरापराधराणि व्यवस्थायामसंज्ञायाम्	pUrvprAvrdkziRottrAprADrARi vyvsTAyAmsMjYAyAm	SAMJNA
35	1	1	35	स्वमज्ञातिधनाख्यायाम्	svmjYAtiDnAKyAyAm	SAMJNA
36	1	1	36	अन्तरं बहिर्योगोपसंव्यानयोः	antrM bhiryogopsMvyAnyoH	SAMJNA
37	1	1	37	स्वरादिनिपातमव्ययम्	svrAdinipAtmvyym	SAMJNA
38	1	1	38	तद्धितश्चासर्वविभक्तिः	tdDitScAsrvviBktiH	SAMJNA
39	1	1	39	कृन्मेजन्तः	kfnmejntH	SAMJNA
40	1	1	40	क्त्वातोसुन्कसुनः	ktvAtosunksunH	SAMJNA
41	1	1	41	अव्ययीभावश्च	avyyIBAvSc	SAMJNA
42	1	1	42	शि सर्वनामस्थानम्	Si srvnAmsTAnm	SAMJNA
43	1	1	43	सुडनपुंसकस्य	suqnpuMsksy	SAMJNA
44	1	1	44	न वेति विभाषा	n veti viBAzA	SAMJNA
45	1	1	45	इग्यणः सम्प्रसारणम्	igyRH smprsArRm	SAMJNA
46	1	1	46	आद्यन्तौ टकितौ	AdyntO wkitO	PARIBHASHA
47	1	1	47	मिदचोऽन्त्यात्परः	midcontyAtprH	PARIBHASHA
48	1	1	48	एच इग्घ्रस्वादेशे	ec igGrsvAdeSe	PARIBHASHA
49	1	1	49	षष्ठी स्थानेयोगा	zzWI sTAneyogA	PARIBHASHA
50	1	1	50	स्थानेऽन्तरतमः	sTAnentrtmH	PARIBHASHA
51	1	1	51	उरण् रपरः	urR rprH	PARIBHASHA
52	1	1	52	अलोऽन्त्यस्य	alontysy	PARIBHASHA
53	1	1	53	ङिच्च	Nicc	PARIBHASHA
54	1	1	54	आदेः परस्य	AdeH prsy	PARIBHASHA
55	1	1	55	अनेकाल्शित्सर्वस्य	anekAlSitsrvsy	PARIBHASHA
56	1	1	56	स्थानिवदादेशोऽनल्विधौ	sTAnivdAdeSonlviDO	ADHIKARA
57	1	1	57	अचः परस्मिन् पूर्वविधौ	acH prsmin pUrvviDO	ADHIKARA
58	1	1	58	न पदान्तद्विर्वचनवरेयलोपस्वरसवर्णानुस्वारदीर्घजश्चर्विधिषु	n pdAntdvirvcnvreylopsvrsvrRAnusvArdIrGjScrviDizu	ADHIKARA
59	1	1	59	द्विर्वचनेऽचि	dvirvcneci	ADHIKARA
60	1	1	60	अदर्शनं लोपः	adrSnM lopH	SAMJNA
61	1	1	61	प्रत्ययस्य लुक्श्लुलुपः	prtyysy lukSlulupH	SAMJNA
62	1	1	62	प्रत्ययलोपे प्रत्ययलक्षणम्	prtyylope prtyylkzRm	PARIBHASHA
63	1	1	63	न लुमताङ्गस्य	n lumtANgsy	PARIBHASHA
64	1	1	64	अचोऽन्त्यादि टि	acontyAdi wi	SAMJNA
65	1	1	65	अलोऽन्त्यात् पूर्व उपधा	alontyAt pUrv upDA	SAMJNA
66	1	1	66	तस्मिन्निति निर्दिष्टे पूर्वस्य	tsminniti nirdizwe pUrvsy	PARIBHASHA
67	1	1	67	तस्मादित्युत्तरस्य	tsmAdityuttrsy	PARIBHASHA
68	1	1	68	स्वं रूपं शब्दस्याशब्दसंज्ञा	svM rUpM SbdsyASbdsMjYA	VIDHI
69	1	1	69	अणुदित् सवर्णस्य चाप्रत्ययः	aRudit svrRsy cAprtyyH	VIDHI
70	1	1	70	तपरस्तत्कालस्य	tprsttkAlsy	VIDHI
71	1	1	71	आदिरन्त्येन सहेता	Adirntyen shetA	SAMJNA
72	1	1	72	येन विधिस्तदन्तस्य	yen viDistdntsy	VIDHI
73	1	1	73	वृद्धिर्यस्याचामादिस्तद् वृद्धम्	vfdDirysyAcAmAdistd vfdDm	SAMJNA
74	1	1	74	त्यदादीनि च	tydAdIni c	SAMJNA
75	1	1	75	एङ् प्राचां देशे	eN prAcAM deSe	SAMJNA
76	1	2	1	गाङ्कुटादिभ्योऽञ्णिन्ङित्	gANkuwAdiByoYRinNit	ADHIKARA
77	1	2	2	विज इट्	vij iw	ADHIKARA
78	1	2	3	विभाषोर्णोः	viBAzorRoH	ADHIKARA
79	1	2	4	सार्वधातुकमपित्	sArvDAtukmpit	ADHIKARA
80	1	2	5	असंयोगाल्लिट् कित्	asMyogAlliw kit	ADHIKARA
81	1	2	6	इन्धिभवतिभ्यां च	inDiBvtiByAM c	ADHIKARA
82	1	2	7	मृडमृदगुधकुषक्लिशवदवसः क्त्वा	mfqmfdguDkuzkliSvdvsH ktvA	ADHIKARA
83	1	2	8	रुदविदमुषग्रहिस्वपिप्रच्छः सँश्च	rudvidmuzgrhisvpiprcCH s~Sc	ADHIKARA
84	1	2	9	इको झल्	iko Jl	ADHIKARA
85	1	2	10	हलन्ताच्च	hlntAcc	ADHIKARA
86	1	2	11	लिङ्सिचावात्मनेपदेषु	liNsicAvAtmnepdezu	ADHIKARA
87	1	2	12	उश्च	uSc	ADHIKARA
88	1	2	13	वा गमः	vA gmH	ADHIKARA
89	1	2	14	हनः सिच्	hnH sic	ADHIKARA
90	1	2	15	यमो गन्धने	ymo gnDne	ADHIKARA
91	1	2	16	विभाषोपयमने	viBAzopymne	ADHIKARA
92	1	2	17	स्था घ्वोरिच्च	sTA Gvoricc	ADHIKARA
93	1	2	18	न क्त्वा सेट्	n ktvA sew	ADHIKARA
94	1	2	19	निष्ठा शीङ्स्विदिमिदिक्ष्विदिधृषः	nizWA SINsvidimidikzvidiDfzH	ADHIKARA
95	1	2	20	मृषस्तितिक्षायाम्	mfzstitikzAyAm	ADHIKARA
96	1	2	21	उदुपधाद्भावादिकर्मणोरन्यतरस्याम्	udupDAdBAvAdikrmRornytrsyAm	ADHIKARA
97	1	2	22	पूङः क्त्वा च	pUNH ktvA c	ADHIKARA
98	1	2	23	नोपधात्थफान्ताद्वा	nopDAtTPAntAdvA	ADHIKARA
99	1	2	24	वञ्चिलुञ्च्यृतश्च	vYciluYcyftSc	ADHIKARA
100	1	2	25	तृषिमृषिकृशेः काश्यपस्य	tfzimfzikfSeH kASypsy	ADHIKARA
101	1	2	26	रलो व्युपधाद्धलादेः संश्च	rlo vyupDAdDlAdeH sMSc	ADHIKARA
102	1	2	27	ऊकालोऽज्झ्रस्वदीर्घप्लुतः	UkAlojJrsvdIrGplutH	SAMJNA
103	1	2	28	अचश्च	acSc	PARIBHASHA
104	1	2	29	उच्चैरुदात्तः	uccErudAttH	SAMJNA
105	1	2	30	नीचैरनुदात्तः	nIcErnudAttH	SAMJNA
106	1	2	31	समाहारः स्वरितः	smAhArH svritH	SAMJNA
107	1	2	32	तस्यादित उदात्तमर्धह्रस्वम्	tsyAdit udAttmrDhrsvm	VIDHI
108	1	2	33	एकश्रुति दूरात् सम्बुद्धौ	ekSruti dUrAt smbudDO	VIDHI
109	1	2	34	यज्ञकर्मण्यजपन्यूङ्खसामसु	yjYkrmRyjpnyUNKsAmsu	VIDHI
110	1	2	35	उच्चैस्तरां वा वषट्कारः	uccEstrAM vA vzwkArH	VIDHI
111	1	2	36	विभाषा छन्दसि	viBAzA Cndsi	VIDHI
112	1	2	37	न सुब्रह्मण्यायां स्वरितस्य तूदात्तः	n subrhmRyAyAM svritsy tUdAttH	VIDHI
113	1	2	38	देवब्रह्मणोरनुदात्तः	devbrhmRornudAttH	VIDHI
114	1	2	39	स्वरितात् संहितायामनुदात्तानाम्	svritAt sMhitAyAmnudAttAnAm	VIDHI
115	1	2	40	उदात्तस्वरितपरस्य सन्नतरः	udAttsvritprsy snntrH	VIDHI
116	1	2	41	अपृक्त एकाल् प्रत्ययः	apfkt ekAl prtyyH	SAMJNA
117	1	2	42	तत्पुरुषः समानाधिकरणः कर्मधारयः	ttpuruzH smAnADikrRH krmDAryH	SAMJNA
118	1	2	43	प्रथमानिर्दिष्टं समास उपसर्जनम्	prTmAnirdizwM smAs upsrjnm	SAMJNA
119	1	2	44	एकविभक्ति चापूर्वनिपाते	ekviBkti cApUrvnipAte	SAMJNA
120	1	2	45	अर्थवदधातुरप्रत्ययः प्रातिपदिकम्	arTvdDAturprtyyH prAtipdikm	SAMJNA
121	1	2	46	कृत्तद्धितसमासाश्च	kfttdDitsmAsASc	SAMJNA
122	1	2	47	ह्रस्वो नपुंसके प्रातिपदिकस्य	hrsvo npuMske prAtipdiksy	VIDHI
123	1	2	48	गोस्त्रियोरुपसर्जनस्य	gostriyorupsrjnsy	VIDHI
124	1	2	49	लुक् तद्धितलुकि	luk tdDitluki	VIDHI
125	1	2	50	इद्गोण्याः	idgoRyAH	VIDHI
126	1	2	51	लुपि युक्तवद्व्यक्तिवचने	lupi yuktvdvyktivcne	ADHIKARA
127	1	2	52	विशेषणानां चाजातेः	viSezRAnAM cAjAteH	ADHIKARA
128	1	2	53	तदशिष्यं संज्ञाप्रमाणत्वात्	tdSizyM sMjYAprmARtvAt	VIDHI
129	1	2	54	लुब्योगाप्रख्यानात्	lubyogAprKyAnAt	VIDHI
130	1	2	55	योगप्रमाणे च तदभावेऽदर्शनं स्यात्	yogprmARe c tdBAvedrSnM syAt	VIDHI
131	1	2	56	प्रधानप्रत्ययार्थवचनमर्थस्यान्यप्रमाणत्वात्	prDAnprtyyArTvcnmrTsyAnyprmARtvAt	VIDHI
132	1	2	57	कालोपसर्जने च तुल्यम्	kAlopsrjne c tulym	VIDHI
133	1	2	58	जात्याख्यायामेकस्मिन् बहुवचनमन्यतरस्याम्	jAtyAKyAyAmeksmin bhuvcnmnytrsyAm	VIDHI
134	1	2	59	अस्मदो द्वयोश्च	asmdo dvyoSc	VIDHI
135	1	2	60	फल्गुनीप्रोष्ठपदानां च नक्षत्रे	PlgunIprozWpdAnAM c nkztre	VIDHI
136	1	2	61	छन्दसि पुनर्वस्वोरेकवचनम्	Cndsi punrvsvorekvcnm	VIDHI
137	1	2	62	विशाखयोश्च	viSAKyoSc	VIDHI
